sentence1,relation,relationscore,structure,structurescore
How to color the font of a single row in a table?,"In a table, how to color the font of a single row?",4,"In a table, how to color the font of a single row?",4
How to use Post Custom Metadata in Post Titles and Post Permalinks,"""Post Titles and Post Permalinks can use me in Post Custom Metadata, how?""",3,"In Post Titles and Post Permalinks, how to use Post Custom Metadata?",4
Multi-page equations -- problem,"""Problem: equations on a single page""",5,Problem with multi-page equations.,4
"what is the correct way to check for latex, pdflatex and html in the same latex document?","""Latex, pdflatex, and html are checking for me in the same latex document, what is the correct way?""",3,"How can latex, pdflatex, and html be checked for in the same latex document?",5
Link to subpages on the same page,"""Subpages on the same page can link to me, how?""",3,How to link to subpages on the same page?,5
Code Smell: Inheritance Abuse,"""Inheritance Abuse: A Code Smell""",5,Inheritance Abuse: A Code Smell.,4
How to get list of selected features in ArcGIS for Desktop using Python code?,"""Python code can get me the list of selected features in ArcGIS for Desktop, how?""",3,"Using Python code, how to get a list of selected features in ArcGIS for Desktop?",4
"Which one is more correct: ""works at a university"" or ""works in a university""?","""Is it more correct to say 'works in a university' or 'works at a university'?""",5,"Which is more correct: ""works at a university"" or ""works in a university""?",4
Make an invisible vbox,"""An invisible vbox can make me, how?""",3,Creating an invisible vbox.,4
Where can I find stock or custom ROMs for my Android device?,Stock or custom ROMs can find me for my Android device?,2,"For my Android device, where can I find stock or custom ROMs?",4
"pdflatex fails within Emacs.app, but works in terminal","Emacs.app fails pdflatex, but terminal works.",2,"Within Emacs.app, pdflatex fails, but it works in terminal.",4
Agile for the Solo Developer,Solo Developer for Agile.,2,"For the Solo Developer, Agile?",2
Adding page number to the even page right after \part,Adding even page number to the right after \part breaks.,4,How to add page numbers to even pages right after \part?,5
Proof that the One-Dimensional Simple Harmonic Oscillator is Non-Degenerate?,Proof that the Non-Degenerate One-Dimensional Simple Harmonic Oscillator is.,2,Is the One-Dimensional Simple Harmonic Oscillator Non-Degenerate? Proof.,3
What is the difference between \def and \newcommand?,The difference between \newcommand and \def is what?,2,\def vs. \newcommand: What's the difference?,5
Child Terms not Displaying on the Taxonomy Term Admin Screen,Taxonomy Term Admin Screen not displaying Child Terms.,5,Taxonomy Term Admin Screen: Child Terms not Displayed.,4
"How does negation affect the use and understanding of ""or"" and ""and""","The use and understanding of ""or"" and ""and"" affected by negation, how?",2,"How is the use and understanding of ""or"" and ""and"" affected by negation?",5
How do I install an individual package on a Linux system?,An individual package on a Linux system installs me how?,2,"On a Linux system, how to install an individual package?",5
What's the deal with orange items without stats?,What's the deal with orange items without stats?,5,Orange Items without Stats: What's the Deal?,5
Torque Required For a Motor to Move an Object on Wheels?,An object on wheels requires torque to move a motor?,4,"For a motor to move an object on wheels, what torque is required?",5
Can I use my device on a different carrier?,Can a different carrier use my device?,5,"On a different carrier, can I use my device?",5
BibTeX loses capitals when creating .bbl file,.bbl file creates BibTeX without capitals.,2,"When creating .bbl file, why does BibTeX lose capitals?",5
Including the interaction but not the main effects in a model,"In a model, include interaction but not the main effects.",5,"In a model, how can I include the interaction but not the main effects?",5
"Are Newton's ""laws"" of motion laws or definitions of force and mass?","Are force and mass definitions or laws in Newton's ""laws"" of motion?",5,"Are Newton's 'laws' of motion definitions of force and mass, or laws?",5
"Capitalization of  X in ""X-ray""","""X-ray"" capitalization of x.",5,"In 'X-ray', should X be capitalized?",5
Why has the innkeeper put a price on my head?,Why have I put a price on the innkeeper's head?,1,Why did the innkeeper put a price on my head?,4
About memoir and titlesec incompatibility,Incompatibility of titlesec and memoir.,5,"Incompatibility between memoir and titlesec, what about it?",5
Will installing a game on Xbox allow me to bypass a location at which the disc becomes unreadable?,Will bypassing an unreadable disc location allow me to install a game on Xbox?,3,"If I install a game on Xbox, can I bypass a location where the disc becomes unreadable?",5
Optimising for Precision-Recall curves under class imbalance,Class imbalance under Precision-Recall curves optimization.,2,How can Precision-Recall curves be optimized under class imbalance?,5
Inequalities with assumptions and constraints,Assumptions and constraints with inequalities,3,"With assumptions and constraints, inequalities?",3
When do I use present perfect tense instead of the simple past?,When does the simple past tense use instead of present perfect tense?,2,"Instead of the simple past, when do I use present perfect tense?",2
How to root a HTC Desire running official Android 2.3?,"A HTC Desire running official Android 2.3 roots me, how to?",3,How can official Android 2.3 be rooted on a HTC Desire?,5
Someting almost faster than light traveling on something else almost faster than light,Something else almost faster than light travels on something almost faster than light.,5,Something traveling almost faster than light on something else almost faster than light.,5
Which registry key holds the license type in ArcGIS 10.x?,The license type in ArcGIS 10.x holds me in which registry key?,2,"In ArcGIS 10.x, which registry key holds the license type?",4
How can I free up more space on my Android (2.2 Froyo) phone?,"My Android (2.2 Froyo) phone frees up more space on me, how can I?",5,"On my Android (2.2 Froyo) phone, how can I free up more space?",5
How can I learn to write idiomatic C++?,"Idiomatic C++ writes me, how can I learn?",2,How can idiomatic C++ be learned?,5
Are there any GIS component that can be used for developing GIS applications for Android phones?,Developing GIS applications for Android phones can be used for any GIS component?,3,Are there any GIS components that can be used for developing GIS applications for Android phones?,5
Batch delete exif info,Exif info deletes batch me.,4,Delete exif info in batch?,5
Can I store an ArcObject inside a BLOB or XML field?,"An ArcObject can be stored inside a BLOB or XML field, can I?",4,"Inside a BLOB or XML field, can I store an ArcObject?",4
How to Stop Applications & Services from Starting on Boot?,How to Start Applications & Services from Stopping on Boot?,2,"From starting on boot, how to stop applications and services?",4
Which CMS for photo-blog website?,Which photo-blog website for CMS?,1,"For a photo-blog website, which CMS?",5
Making multiple separate selections from attributes,Making attributes from multiple separate selections,1,"From attributes, making multiple separate selections.",5
What do the numbers in a man page mean?,What do the man page in numbers mean?,3,What is the meaning of the numbers in a man page?,5
How to manipulate 2D plots?,How to plot 2D manipulations?,2,Manipulating 2D plots: how to do it?,5
Prevent pdflatex from writing a bunch of files,Writing a bunch of files from preventing pdflatex,1,How to stop pdflatex from writing a bunch of files?,5
Picture Gallery & Message Forum,Message Forum & Picture Gallery,5,Message forum and picture gallery.,4
Inconsistent rotations with \sidewaysfigure,\sidewaysfigure with inconsistent equipped rotations,1,\sidewaysfigure causing inconsistent rotations.,4
Chainsaw-equipped or chainsaw equipped?,Equipped chainsaw or chainsaw-equipped?,5,Chainsaw-equipped or equipped with a chainsaw?,4
What fonts does this article use?,This article uses fonts of what?,5,This article uses which fonts?,5
Which E-commerce Platform works well with Flash Product Customization+Social?,Flash Product Customization+Social works well with which E-commerce Platform?,5,"With Flash Product Customization+Social, which E-commerce Platform works well?",5
Does one use 'a' or 'an' before the word X-Ray?,X-Ray uses 'a' or 'an' before the word of what?,5,"Before the word X-Ray, does one use 'a' or 'an'?",5
Add a new empty page,Remove a new filled page.,2,A new empty page needs to be added.,3
What is SNS App?,SNS App is what?,4,What does SNS App mean?,5
How to use 1. (number followed by dot) format instead of [1] format in bibliography,How to use [1] format instead of 1. (number followed by dot) format in bibliography?,2,"In bibliography, how to use the 1. (number followed by dot) format instead of [1] format?",4
Is there a CASE Tool for modelling spatial databases?,Modelling spatial databases has a CASE Tool?,5,"For modelling spatial databases, is there a CASE Tool?",5
Code for Connecting to Folder/File to open a mxd document!,A mxd document opens by connecting to which Folder/File code?,2,Connect to Folder/File to open an mxd document - what is the code?,4
How to create individual chapter PDFs,How to create PDFs of individual chapters?,5,How can individual chapter PDFs be created?,5
Is there any way to find out how often a certain query is sent to a search engine?,How often a certain query is sent to a search engine can be found out in what way?,3,Can we find out how often a certain query is sent to a search engine?,5
Motorola Triumph - how to decrease internal memory (clear log files),"Internal memory of Motorola Triumph wants to increase, how to fill log files?",2,How to clear log files and decrease internal memory on Motorola Triumph?,5
Web-based user editable routing application,Routing application editable by users based on web.,5,What is a web-based routing application that can be edited by users?,4
How to mentor junior programmer who may not be a good fit for programming?,"Junior programmer who may not be a good fit for programming wants to mentor, how to?",2,How to mentor a junior programmer who may not be a good fit for programming?,5
Package Install via Market sometimes fails and gives seemingly random error message,Seemingly random error message gives and fails sometimes via Market Install Package.,2,Why does package install via Market sometimes fail and give random error messages?,3
How can I be more productive at work? (additional context inside),"At work, how can I be less productive? (additional context inside)",1,How can productivity at work be increased? (additional context inside),5
removing page number for title page,"Title page wants to keep page number, how to add?",2,How to remove page numbers for the title page?,5
What does \begingroup\expandafter…\endgroup do?,"\begingroup\expandafter…\endgroup doesn't do anything, what does it mean?",2,What is the purpose of \begingroup\expandafter…\endgroup in LaTeX?,5
When can I get Covetous Shen's conversations for the Everybody Loves Shen achievement?,"Everybody Loves Shen achievement wants to get Covetous Shen's conversations, when can I?",2,"For the Everybody Loves Shen achievement, when can I access Covetous Shen's conversations?",4
what does the @ mean in ls -l?,"In ls -l, what does the @ not mean?",2,"What is the meaning of ""@"" in the ""ls -l"" command?",5
Where are all the skill trainers?,"All the skill trainers are looking for me, where am I?",3,"All the skill trainers, where are they?",5
"Why the number of indexed pages decreased for a ""site:"" search","Why did the ""site:"" search increase the number of indexed pages?",1,"For a 'site:' search, why did the number of indexed pages decrease?",4
When will my device get the Android 4.0 update (Ice Cream Sandwich)?,When will the Android 4.0 update (Ice Cream Sandwich) get me and my device?,2,"The Android 4.0 update (Ice Cream Sandwich), when will my device get it?",4
What do you call who writes comments? Commenter or commentator?,Who calls the one who writes comments? Commentator or commenter?,2,"Who writes comments, commenter or commentator?",4
Using \ttfamily with \bfseries (or how to enable bold in fixed-width font),Using \ttfamily with \bfseries (or how to disable bold in fixed-width font),5,"Enabling bold in fixed-width font, using \ttfamily with \bfseries.",4
Is there a way to make Screen scroll like a normal terminal?,Is there a way to make a normal terminal scroll like Screen?,3,Can Screen be made to scroll like a normal terminal?,5
Why doesn't PatternTest work with Composition?,Why does Composition not work with PatternTest?,3,Why does PatternTest not work with Composition?,5
Where are the Act 3 lore books?,"The Act 3 lore books are looking for me, where am I?",3,"The Act 3 lore books, where are they?",4
What is the correct way to pluralize an acronym?,The acronym should pluralize the correct way?,4,When should an acronym be pluralized correctly?,3
In what ways can TeX be used beyond document production?,Document production can be used beyond TeX in what ways?,3,How can TeX be utilized beyond document production?,5
How to make a monopole magnet?,How to make a magnet monopole?,3,How to make a monopole magnet?,5
Restore only part of nandroid image,Nandroid image restores only part of it.,4,Nandroid image: how to restore only part of it?,5
Coulomb force in SI and cgs,SI and cgs Coulomb force.,3,"In SI and cgs, Coulomb force?",5
Should /usr and /home be on different partitions?,Should different partitions be on /usr and /home?,5,Should /usr and /home be on different partitions?,5
Associating a function in Emacs after looking up the code with M-x describe-key,"Looking up the code with M-x describe-key, associating a function in Emacs after.",3,"After looking up the code with M-x describe-key, how to associate a function in Emacs?",5
"What is the idea of a bot ""kill lane""?","What is the idea of a ""kill lane"" bot?",5,What is the idea of a bot 'kill lane'?,5
Python :ImportError: DLL load failed: The specified module could not be found,DLL load failed: The specified module could not find me in Python ImportError.,4,The specified module could not be found: ImportError DLL load failed in Python?,4
Linux for low-end hardware and internet browsing,Low-end hardware and internet browsing for Linux?,3,Internet browsing on low-end hardware with Linux,4
Observing lunar lander and footprints on the moon?,Footprints on the moon and lunar lander observing me?,2,Is it possible to observe lunar lander and footprints on the moon?,5
What's the safest way to farm obsidian without burning to death?,"Burning to death while farming obsidian, what's the safest way?",4,Safely farming obsidian without the risk of burning to death,4
What are great online code reviews tool for Open Source projects?,"Open Source projects, what are great online code reviews tool for me?",3,Open Source projects: What are some great online code review tools?,5
How do you get the last paragon/renegade dialogue option towards the end of the game?,"Towards the end of the game, how do I get the last paragon/renegade dialogue option?",4,Obtaining the last paragon/renegade dialogue option towards the end of the game,4
How to find web hosting that meets my requirements?,Finding web hosting that meets your requirements,5,Finding web hosting that meets your requirements,5
Can't rename a directory that I own,Directory renaming issue: Unable to rename directory owned by me,4,"I own the directory, but I can't rename it. Why?",2
multiple legends in pgfplot,Pgfplot: How to include multiple legends,5,Pgfplot: How to include multiple legends,5
How do you reset saved multiplayer progress in Portal 2?,Resetting saved multiplayer progress in Portal 2: How to do it?,4,How to reset saved multiplayer progress in Portal 2?,4
How to perform a join on simultaneous spatial and attribute criteria in ArcGIS?,"In ArcGIS, how can simultaneous spatial and attribute criteria be used to perform a join?",4,"In ArcGIS, how can I perform a join on simultaneous spatial and attribute criteria?",5
Changing the plot variable inside Plot,Plot: How to change the variable being plotted?,4,Plot: How to change the variable being plotted?,4
How do I filter items in the Auction House by additional damage?,How can items in the Auction House be filtered by additional damage?,4,How can I filter items in the Auction House by additional damage?,5
What are some expressions that can be used to end an email?,What are some expressions that can be used to conclude an email?,4,What are some email expressions that can be used to end it?,5
Do I need to buy all the released updates to begin playing WoW?,Is it necessary to purchase all the updates that have been released to start playing WoW?,4,"To begin playing WoW, do I need to buy all the released updates?",5
I lost my follower?,My follower is missing. What should I do?,2,Did I lose my follower?,3
How to change parameters for \textsuperscript{} in french?,How can parameters for \textsuperscript{} be changed in French?,4,"In French, how can I change parameters for \textsuperscript{}?",5
Is there an accepted rule for naming all of our various distant relatives (Kinship Terms)?,Are there any universally accepted rules for naming distant relatives (Kinship Terms)?,4,Are there any universally accepted rules for naming distant relatives (Kinship Terms)?,4
Where to find QGIS tutorials and web resources?,"QGIS tutorials and web resources need to find me, where?",3,Where can I find QGIS tutorials and web resources?,5
Using TIPA with fontspec,Fontspec needs to use me with TIPA.,3,How can I use TIPA with fontspec?,5
Why does everything spin?,"Everything spins because of me, why?",2,"Spin everything, why does?",2
What words are commonly mispronounced by literate people who read them before they heard them?,Literate people who read words before hearing them commonly mispronounce what?,5,Which words do literate people commonly mispronounce after reading them before hearing them?,3
How to create a style file for QGIS from a plain text file?,"From a plain text file, how to create a style file for QGIS?",5,"From a plain text file, how to create a style file for QGIS?",5
"I have no money on my cell phone account or ""my cellphone is out of money"" or how?","My cell phone account has no money or ""Money is out of my cellphone"" or how?",2,"My cellphone is out of money or I have no money on my cell phone account, how?",4
WebHosting solutions allowing self-made Apache modules,"Apache modules made by myself, allowed by what WebHosting solutions?",4,Self-made Apache modules allowing web hosting solutions.,2
Change login error messages,"Error messages on login, change them.",5,"Error messages for login, change.",4
tabular multirow un-indent the first line,"First line un-indented, tabular multirow.",2,"Un-indent the first line, tabular multirow.",2
How can I deduce an app from a notification icon?,"Notification icon, how to deduce an app from it?",5,"From a notification icon, how to deduce an app?",5
How do I not get lost underground?,"Underground, how do I not get lost?",5,"Underground, how do I not get lost?",4
Why are Bitmap-Fonts used automatically?,"Automatically used, why are Bitmap-Fonts?",5,"Automatically used, why are Bitmap-Fonts?",5
How do I project the screen of my Android phone for a presentation?,"""The screen of my Android phone needs to be projected for a presentation, how do I do it?""",4,"For a presentation, how do I project the screen of my Android phone?",5
What to do to switch to biblatex?,"""Biblatex needs to be switched to, what should I do?""",4,How can biblatex be switched to?,5
Reducing the console output of LaTeX,"""LaTeX's console output needs to be increased""",2,"LaTeX console output reduction, how?",4
How to Start Web Mapping?,"""Web Mapping needs to be started""",4,"Web Mapping, how to start?",5
How to measure the accuracy of latitude and longitude?,"""The accuracy of latitude and longitude needs to be measured, how can I do it?""",4,"Latitude and longitude accuracy measurement, how?",5
How to implement a horizontal cat?,"""A horizontal cat needs to be implemented, how can it be done?""",4,"Implementing a horizontal cat, how?",5
What are some best practices for managing large amounts of geospatial data?,"""Large amounts of geospatial data need to be managed, what are some best practices?""",4,"Managing large amounts of geospatial data, what are some best practices?",5
"What is a ""side effect?""","""What is a side effect and how does it occur?""",4,What is a 'side effect?',5
Can I install Android on my non-Android device?,My non-Android device can be installed on Android?,2,"On my non-Android device, can I install Android?",4
How to calculate 2D soft-body Physics,2D soft-body Physics can calculate me how?,2,"Calculating 2D soft-body Physics, how to?",4
No space following macro without argument,Macro without argument follows no space.,2,"Without argument, macro with no space following?",4
"How to get rid of ""SD Card blank or has unsupported filesystem"" notification","""SD Card blank or has unsupported filesystem"" notification can get rid of me how?",2,"How can the ""SD Card blank or has unsupported filesystem"" notification be removed?",5
Z-level in TikZ,TikZ's Z-level?,3,TikZ's Z-level.,4
How to avoid splitting tables between sections,"Between sections, how to avoid splitting tables?",4,"Between sections, how to avoid splitting tables?",4
How can I break an align environment for a paragraph?,"For a paragraph, how can I break an align environment?",4,"For a paragraph, how can I break an align environment?",4
Position of cursor around brace when using auto-completion in TeXStudio,"When using auto-completion in TeXStudio, position of cursor around brace?",4,"When using auto-completion in TeXStudio, position of cursor around brace?",4
How and why have some words changed to a complete opposite?,A complete opposite to how and why some words have changed?,2,"To a complete opposite, how and why have some words changed?",3
[ as first character in table row,Table row's first character is ] instead of [.,2,Table row's first character: [?,3
Should quantitative predictors be transformed  to be normally distributed?,"""To be normally distributed, should quantitative predictors transform?""",5,Should we transform quantitative predictors to be normally distributed?,5
"What is the most effective way to add functionality to unfamiliar, structurally unsound code?","What is the most ineffective way to add functionality to familiar, structurally sound code?",2,"What is the most effective way to add functionality to structurally unsound, unfamiliar code?",5
Smartly using smart casting,Dumbly using dumb casting,2,Smart casting: how to use it smartly?,5
How to write hidden notes in a LaTeX file?,How to write visible notes in a LaTeX file?,1,"In a LaTeX file, how can hidden notes be written?",4
"If I want to focus on magic, can I ignore weapons entirely?","If I want to focus on weapons, can I ignore magic entirely?",1,Can weapons be ignored entirely if the focus is on magic?,4
What's the maximum number of powered rails in a row that's useful?,What's the minimum number of powered rails in a row that's useful?,1,What is the maximum number of useful powered rails in a row?,5
Did spacetime start with the Big bang?,Did the Big Bang start with spacetime?,2,Did the Big Bang mark the start of spacetime?,5
Choosing a functional programming language,Choosing a dysfunctional programming language,2,Which functional programming language should be chosen?,5
Mapping multiple URLs to same page,Mapping a single URL to multiple pages.,1,How to map multiple URLs to the same page?,5
Adding Layerfiles (.lyr) to QGIS?,QGIS is adding trouble to Layerfiles (.lyr)?,2,"To QGIS, how do I add Layerfiles (.lyr)?",4
trust factor in code review,Code review's trust factor in?,2,"In code review, what is the trust factor?",3
Standard deviation of binned observations,Binned observations of standard deviation?,2,Binned observations: what is the standard deviation?,4
Why are blocks respawning in my Minecraft 1.3 SMP server?,"My Minecraft 1.3 SMP server is respawning blocks, why?",3,Why are blocks respawning in a Minecraft 1.3 SMP server?,4
Cut + Copy + Paste in Linux Puppy Wary,Linux Puppy Wary is cutting + copying + pasting?,2,Linux Puppy Wary: how to Cut + Copy + Paste?,4
What actions to take when people leave the team?,"When the team leaves people, what actions to take?",2,"When team members leave, what actions should be taken?",4
Compiling documents online,Online documents are compiling?,2,"Online, how do I compile documents?",4
How do I number equations only if they are referred to in the text?,"Equations are numbered only if they are referred to in the text, how?",4,How to number equations only if they are referred to in the text?,5
"Using -ed vs. -ing in the ""needs washed"" construction","The ""needs washed"" construction is using -ed vs. -ing?",4,Needs washed construction: when to use -ed vs. -ing?,4
How can I find out the make and model of the chips in my device?,The make and model of the chips in my device can find out me.,2,What is the make and model of the chips in my device?,5
What are the rules of Caravan?,Caravan follows what rules?,2,What are Caravan's rules?,5
Setting the column gap in a twocolumn (or multicol) document,Setting the twocolumn (or multicol) document in a column gap.,2,"In a twocolumn (or multicol) document, how do I set the column gap?",5
"Is there a usage of ""the"" that indicates one out of a group of many?","Is there a usage of ""the"" that indicates many out of a group of one?",2,Does the usage of 'the' indicate one out of a group of many?,5
Is it possible to display 3-D maps in ArcGIS Java Script API?,ArcGIS Java Script API can display me 3-D maps?,2,Can 3-D maps be displayed in ArcGIS Java Script API?,5
Adding word 'Table' before each entry in list of tables,Each entry in list of tables can add the word 'Table' after it.,2,How do I add the word 'Table' before each entry in the list of tables?,5
Can somebody illustrate how there can be dependence and zero covariance?,Dependence and zero covariance can illustrate how somebody?,2,Can someone illustrate the dependence and zero covariance?,5
Is there any way to skip the tutorial city in SimCity?,The tutorial city in SimCity can skip me in any way?,2,Is there a way to skip the tutorial city in SimCity?,5
Kerning issue with Adobe Garamond Pro: XeTeX or font file to blame ?,Adobe Garamond Pro's kerning issue can blame me XeTeX or font file?,2,Is the kerning issue with Adobe Garamond Pro due to XeTeX or the font file?,5
Is there a way to stop enemies from boarding?,Boarding enemies can stop me in any way?,2,How can I prevent enemies from boarding?,5
TeXstudio: How to associate tex syntax color scheme to non tex file?,"""Non-tex file: How to associate tex syntax color scheme to it in TeXstudio?""",4,"To associate tex syntax color scheme to non tex file, how in TeXstudio?",4
Transforming the .bib file to get upper cases,Getting lower cases from the .bib file transformation,2,"To get upper cases, how to transform the .bib file?",4
"What is the difference between ""lay"" and ""lie""?","""Lay"" and ""lie"": what is the difference?",5,"What is the difference between ""lay"" and ""lie""?",5
Vertical space in lists,Lists in vertical space,2,Lists: How to adjust vertical space?,5
How can I increase Skyrim's Volume?,How can Skyrim's Volume increase me?,1,How to increase Skyrim's volume?,5
Wrapping a command that includes single and double quotes for another command,Another command wrapping a command that includes single and double quotes,2,How to wrap a command that includes single and double quotes for another command?,5
What does <++> signify when using Vim LatexSuite?,"When using Vim LatexSuite, what does <++> signify?",5,"In Vim LatexSuite, what does <++> indicate?",5
How to flush machine underflows to zero and prevent conversion to arbitrary precision?,How to prevent conversion to arbitrary precision and flush machine overflows to zero?,2,How to set machine underflows to zero and prevent conversion to arbitrary precision?,5
Are there any words that are spelled the same but have separate etymologies?,Are there any words that have separate etymologies but are spelled the same?,5,Do any words have separate etymologies but are spelled the same?,5
is Java free for mobile development?,"Mobile development is free for Java, isn't it?",4,Is mobile development with Java free?,5
What do you get when you level after you have already reached level 80?,"When you have already reached level 80, what do you get when you level?",5,"After reaching level 80, what happens when you level up?",5
"How do you capitalize a proper noun such as ""iPhone""?","Proper nouns such as ""iPhone"" can be capitalized how?",4,Properly capitalize a proper noun like 'iPhone'?,5
"Which day does ""next Tuesday"" refer to?","Which Tuesday does ""next day"" refer to?",4,"To which day does ""next Tuesday"" refer?",5
Will the night sky eventually be bright?,Will the night sky never be bright?,2,Will the night sky eventually become bright?,4
Recommendations for good Newtonian mechanics and kinematics books,Bad Newtonian mechanics and kinematics books recommendations for good ones,2,Good books on Newtonian mechanics and kinematics recommended?,5
Superscripts before a letter in math,A letter in math before superscripts?,2,"In math, should superscripts come before or after a letter?",5
"How bad for TeX is omitting braces {}, even if the result is the same?","Omitting braces {} in TeX is bad, even if the result is the same, isn't it?",4,"How detrimental is it to omit braces {} in TeX, even if the result is the same?",5
How to use images in a table?,"A table can be used to display images, but how?",4,"In a table, how to use images?",5
Why do websites have a contact form? isn't an email address enough?,"An email address is not enough, why do websites have a contact form?",3,"Enough, isn't an email address? Why do websites have a contact form?",2
How to insert guide-lines in graphics without specifying range?,"Graphics can be guided without specifying range, how?",4,"Without specifying range, how to insert guide-lines in graphics?",5
Why is Lisp useful?,"Useless is Lisp, why?",1,"Useful, why is Lisp?",5
Align two inequalities,"Two inequalities, align.",4,"Two inequalities, align.",4
Can the lightning be captured and used as power source?,"Used as power source, can the lightning be captured?",4,"Used as power source, can the lightning be captured?",4
How to display both scalebar in kilometers and grid in lat/long degrees in Quantum GIS 1.8 Composer?,"In Quantum GIS 1.8 Composer, how to display both scalebar in kilometers and grid in lat/long degrees?",5,"In Quantum GIS 1.8 Composer, how to display both scalebar in kilometers and grid in lat/long degrees?",5
"What are ""degrees of freedom""?","What are degrees of freedom""?""",5,"What are degrees of freedom""?""",5
Does modifying a collective noun with a number make the subject plural?,"Plural, does modifying a collective noun with a number make the subject?",4,"Plural, does modifying a collective noun with a number make the subject?",4
How to show the filesystem type via the terminal?,The terminal can show the filesystem type how?,4,"Via the terminal, how to show the filesystem type?",5
Should I put a comma before the last item in a list?,Should the last item in a list have a comma before it?,4,Is a comma necessary before the last item in a list?,5
When is it appropriate to use non-breaking spaces?,When is it inappropriate to use non-breaking spaces?,2,When is it appropriate to use non-breaking spaces?,5
Punctuation to introduce a list: comma vs. colon vs. nothing,Nothing vs colon vs comma to introduce a list of punctuation,4,Comma vs. colon vs. nothing: punctuation to introduce a list?,5
How to create a point along a line given distance,"Given distance, how to create a line along a point?",2,"Given distance, how to create a point along a line?",5
Specific usage of the word 'but',The word 'but' usage is general,4,The word 'but': specific usage,3
Book recommendations,Book discouragements,1,Book recommendations?,5
Are there any rules on the positioning adverbs should take in a sentence?,Are there any rules on the positioning of adverbs that they shouldn't take in a sentence?,4,What are the rules for the positioning of adverbs in a sentence?,5
Why does a black hole have a finite mass?,"A finite mass has a black hole, why?",4,"A black hole has a finite mass, why?",5
When will my phone get the Android 2.3 update (Gingerbread)?,When will the Android 2.3 update (Gingerbread) get my phone?,3,"Gingerbread update (Android 2.3), when will my phone get it?",5
Double superscript error involving tilde,Tilde involving double superscript error,4,Tilde involved in double superscript error.,5
How can I put lstlisting block into subfloat block?,Subfloat block into lstlisting block put how can I?,5,"Subfloat block, how can I put lstlisting block into it?",5
"Are collective nouns always plural, or are certain ones singular?","Singular or plural, certain ones or always collective nouns?",4,"Certain collective nouns, are they singular or always plural?",4
Conditional typesetting / build,Build / typesetting conditional,4,"Build or typesetting, conditional?",4
"Meaning of ""last/this/next Monday"" ","""Monday last/this/next"" meaning of",4,"Last/this/next Monday, what do they mean?",5
What is the theoretical limit for farthest we can see back in time and distance?,"Distance and time back in farthest we can see, what is the theoretical limit for?",5,"Farthest we can see back in time and distance, what is the theoretical limit for it?",5
How can I have two or more distinct indexes?,"Two or more distinct indexes can have me, how?",2,Is it possible to have two or more distinct indexes?,5
Webhost ( linux shared ) which has php imap extension enabled and ports not blocked,Ports not blocked and php imap extension enabled webhost (linux shared) which has me.,3,How can the php imap extension be enabled on a linux shared webhost with unblocked ports?,5
What are the differences between throwaway and evolutionary prototypes?,"Evolutionary prototypes and throwaway, what are the similarities?",2,What are the differences between throwaway and evolutionary prototypes?,5
How can I use Flash Player now that it's no longer supported?,"Now that it's no longer supported, how can Flash Player use me?",2,"Now that Flash Player is no longer supported, how can it be used?",4
Bash: Display exit status in prompt:,Prompt: Display exit status in bash?,2,"In the prompt, how can I display the exit status in Bash?",5
Words that are pluralized in the middle?,Words that are singularized in the middle?,1,"In the middle, which words are pluralized?",2
"Why do we use ""./"" to execute a file?","Why does a file need ""./"" to execute me?",2,"Why is ""./"" used to execute a file?",5
"Get a ""step by step"" evaluation in Mathematica","Get a ""step by step"" evaluation in me, Mathematica.",2,"Can Mathematica provide a ""step by step"" evaluation?",4
How to create small PDF files for the Internet,How to create large PDF files for the Internet.,1,"For the internet, how can I create small PDF files?",4
"When to use ""to"" and when ""for""?","When to use ""for"" and when ""to""?",5,"When should ""to"" be used instead of ""for""?",4
What are best practices when giving a presentation to programmers?,"When giving a presentation to programmers, what are their best practices?",5,"When giving a presentation to programmers, what are the best practices?",5
Why c++? Where to start?,Why start with c++? Where?,4,Where to start with c++?,5
Catenatives followed by infinitives and gerunds,Infinitives and gerunds followed by catenatives,4,Infinitives and gerunds following catenatives,5
Intersection of 2 lines not really connected in TikZ,TikZ not really connected in the intersection of 2 lines,3,"Not really connected in TikZ, intersection of 2 lines.",4
How do I change my margins and spacing to fit the PhD thesis requirements of University XYZ?,"University XYZ PhD thesis requirements to fit my margins and spacing, how do I change them?",4,"To fit the PhD thesis requirements of University XYZ, how do I change my margins and spacing?",4
How to convert mediawiki syntax to latex?,"Latex to mediawiki syntax, how to convert?",4,Converting mediawiki syntax to latex,5
Can I transfer an installation?,Can an installation transfer me?,2,Can an installation be transferred?,5
How much play time to complete Legend of Zelda: Twilight Princess,"Legend of Zelda: Twilight Princess to complete, how much play time?",4,How much play time is needed to complete Legend of Zelda: Twilight Princess?,5
Is a URL with a query string better or worse for SEO then one without one?,"One without a query string or with one, which URL is worse or better for SEO?",4,"For SEO, is a URL with a query string better or worse than one without?",5
"Style Question: Use of ""we"" vs. ""I"" vs. passive voice in a dissertation","""A dissertation should use passive voice instead of 'we' or 'I'.""",4,"In a dissertation, should ""we,"" ""I,"" or passive voice be used?",4
What technical details should a programmer of a web application consider before making the site public?,"""Before making a site public, what technical details should consider a programmer of a web application?""",3,"Before making a web application public, what technical details should a programmer consider?",5
