sentence1,relation,relationscore,structure,structurescore
"We found no obvious effect of LATS2-depletion on the Aurora-A kinase activity when monitored by phosphorylation state of Thr288 on Aurora-A, suggesting that LATS2 may be a downstream of Aurora-A as mentioned in a previous report.","When monitored by the phosphorylation state of Thr288 on Aurora-A, we found no obvious effect of LATS2-depletion on the Aurora-A kinase activity, suggesting that LATS2 may be a downstream of Aurora-A as mentioned in a previous report.",4,"Downstream of Aurora-A, as mentioned in a previous report, may be LATS2, as we found no obvious effect of LATS2-depletion on the Aurora-A kinase activity when monitored by phosphorylation state of Thr288 on Aurora-A.",3
"Genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function.","Genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function.",5,"Inhibiting TET enzymatic function is one way neomorphic IDH mutations contribute to myeloid transformation, according to genetic and functional studies.",4
"In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth, whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported.","In PC9 cells, the loss of GATA6 and/or HOPX did not alter cell growth, whereas the reduction of GATA2 and EGFR inhibited cell viability as previously mentioned.",3,"Contrary to previous reports, loss of GATA6 and/or HOPX did not alter cell growth in PC9 cells, whereas reduction of GATA2 and EGFR inhibited cell viability.",2
Centrosomes increase both in size and in microtubule-nucleating capacity just before mitotic entry.,"Both in size and in microtubule-nucleating capacity, centrosomes increase just before mitotic entry.",5,"Just before mitotic entry, both size and microtubule-nucleating capacity of centrosomes increase, according to a study.",4
"With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death.",It has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death with respect to LATS2.,5,"G2/M arrest and subsequent apoptotic cell death are induced by LATS2, as reported previously.",4
The up-regulation of miR-146a was also detected in cervical cancer tissues.,Cervical cancer tissues also detected the up-regulation of miR-146a.,4,Also detected in cervical cancer tissues was the up-regulation of miR-146a.,4
Necroptosis is also part of host defense against virus infection.,Also part of host defense against virus infection is necroptosis.,3,Part of host defense against virus infection is also necroptosis.,4
Necrotic death was augmented when caspase activities were compromised by either viral or chemical inhibitors.,"When caspase activities were compromised by either viral or chemical inhibitors, necrotic death was augmented.",5,"When caspase activities were compromised by either viral or chemical inhibitors, necrotic death was augmented.",4
The cyclin-dependent kinase (CDK) inhibitor roscovitine has been reported to down-regulate the anti-apoptotic protein Mcl-1,Reported to down-regulate the anti-apoptotic protein Mcl-1 has been the cyclin-dependent kinase (CDK) inhibitor roscovitine.,3,Down-regulation of the anti-apoptotic protein Mcl-1 has been reported to be caused by the cyclin-dependent kinase (CDK) inhibitor roscovitine.,4
"At the onset of mitosis, LATS2 is activated by phosphorylation and plays important roles in G2/M transition in cultured cells","Activated by phosphorylation at the onset of mitosis, LATS2 plays important roles in G2/M transition in cultured cells.",5,"LATS2, when activated by phosphorylation at the onset of mitosis, plays important roles in G2/M transition in cultured cells.",4
"Three programs, PicTar, miRanda, and TargetScan , were used to predict the targets of miR-21.","Used to predict the targets of miR-21 were three programs, PicTar, miRanda, and TargetScan.",5,"To predict the targets of miR-21, three programs, PicTar, miRanda, and TargetScan, were used.",4
Oncogenic KRAS mutations are common in cancer.,Common in cancer are oncogenic KRAS mutations.,3,Cancer commonly has oncogenic KRAS mutations.,4
