sentence1,relation,relationscore,structure,structurescore
Angie and Candice are my girls,My girls are Angie and Candice,5,My girls are Angie and Candice.,5
I feel Candice will win,I think Candice will feel the win,2,"Will win, I feel, Candice.",2
every night is Candice night to me,"Candice night is every night to the world, not just me",2,"To me, every night is Candice night.",2
I would buy Candice or Amber album,I would buy Amber or Candice's album,4,"An album by Candice or Amber, I would buy.",4
I think Candice is the whole package,"The whole package is Candice, I think",2,"The whole package, Candice is, I think.",2
but Candice and Amber did the best,But the best was done by Amber and Candice,5,"The best, Candice and Amber did.",5
candice and amber all day every day,"All day every day, Candice and Amber.",5,"All day every day, Candice and Amber.",5
Still here for the end of the canucks game,"For the end of the Canucks game, still here.",5,"For the end of the Canucks game, still here.",5
Congratulations to Chelsea for reaching the final,"For reaching the final, congratulations to Chelsea.",5,"For reaching the final, congratulations to Chelsea.",5
Congratulations to all Chelsea fans,Congratulations to all fans of Chelsea.,5,Congratulations to all Chelsea fans.,5
Moses taking Chelsea to the promise final,Chelsea is being taken to the promise final by Moses.,5,"To the promise final, taking Chelsea, Moses.",4
Chelsea fans are fucking awful,Awful fucking fans are Chelsea's.,2,Awful fucking Chelsea fans.,4
Chelsea must get to the finals,The finals must be reached by Chelsea.,4,"To the finals, Chelsea must get.",5
I used to love Chelsea fans in the 80s,"In the 80s, I used to hate Chelsea fans.",2,"In the 80s, I used to love Chelsea fans.",5
A Chelsea FC for 20 years,"For 20 years, a hater of Chelsea FC.",3,"For 20 years, a Chelsea FC.",5
Chelsea and benfica to win 31,"To lose 31, Chelsea and Benfica.",2,"To win 31, Chelsea and Benfica.",4
Chelsea looking foward to amsterdam,Amsterdam is looking forward to Chelsea.,3,"Amsterdam, Chelsea is looking forward to.",4
Chelsea think she a boss,The boss thinks she is Chelsea.,2,"A boss, Chelsea thinks she is.",1
It s finally spring in Chicago,"In Chicago, it's finally winter.",1,"Finally, it is spring in Chicago.",5
I hope the XGames goes to Chicago in 14,I hope Chicago goes to the XGames in 14.,3,"In 14, I hope the XGames goes to Chicago.",3
Sally Bowles in Chicago perfect,"Perfect in Chicago, Sally Bowles.",5,"Perfect in Chicago, Sally Bowles is.",5
It s so Damn hot in Chicago,"In Chicago, it's so damn cold.",1,"In Chicago, it's damn hot.",3
Chicago Blackhawks all the way,"All the way, the Chicago Blackhawks.",5,"All the way, Chicago Blackhawks.",5
are you coming to chicago,"Chicago, are you coming to me?",2,"To Chicago, are you coming?",3
MEMORIAL DAY WEEKEND in Chicago,"In Chicago, it's not Memorial Day weekend.",3,"In Chicago, Memorial Day weekend.",5
Up in Chicago with the KCPs,The KCPs are up in Chicago.,5,"With the KCPs, up in Chicago.",5
I cant wait to leave Chicago,Chicago can't wait to leave me,4,"To leave Chicago, I can't wait.",5
Damn Chris Kelly from Kriss Kross passed away,Kriss Kross from Chris Kelly damn passed away,3,"From Kriss Kross, Chris Kelly passed away, damn.",2
WTF Chris Kelly from Kris Kross DEAD,Chris Kelly from Kris Kross DEAD WTF,5,"Dead, Chris Kelly from Kris Kross, WTF.",5
Omg Chris Kelly from Kris Kross died,"Chris Kelly from Kris Kross didn't die, OMG",3,"Died, Chris Kelly from Kris Kross, omg.",1
Chris Kelly of rap group Kriss Kross,Rap group Kriss Kross of Chris Kelly,5,"Of rap group Kriss Kross, Chris Kelly.",5
Chris Kelly Of The Legendary Group Kriss Kross,The legendary group Kriss Kross of Chris Kelly,5,"Of the legendary group Kriss Kross, Chris Kelly is.",4
I Love the way Chris Paul is playing tonight,Tonight's playing is loved by Chris Paul of the way,3,"Tonight, I love the way Chris Paul is playing.",5
Chris Paul is the only clippers player playing like he wants to win,The only player of Clippers playing like he wants to win is Chris Paul,5,"Playing like he wants to win, Chris Paul is the only Clippers player.",4
Chris Paul is such a joy to watch,Watching Chris Paul is such a joy,5,"Such a joy to watch, Chris Paul is.",5
Bruh Chris Paul is too smart,"Too smart is Chris Paul, bruh",3,"Too smart, bruh, Chris Paul is.",2
As Chris Paul goes so go the Clippers,So go the Clippers as Chris Paul goes,5,"So go the Clippers, as Chris Paul goes.",4
like Chris Paul dark that s the darkest,"The darkest like Chris Paul, that's dark",3,The darkest shade I like is Chris Paul dark.,2
Chris Paul is playing more like Cliff Paul,Cliff Paul is playing more like Chris Paul,2,"More like Cliff Paul, Chris Paul is playing.",3
It s the Chris Paul show,"The Chris Paul show, it is",5,The Chris Paul show it is.,4
Chris Paul is just a pussy,A pussy is just Chris Paul,1,"Just a pussy, Chris Paul is.",3
Why is Chris Paul so beautifuuuuul,Why is beautifuuuuul Chris Paul so?,4,"So beautifuuuuul is Chris Paul, why?",3
I can do that shit to Ciara,Ciara can do that shit to me.,4,"To Ciara, that shit I can do.",3
Are you ready for Cinco De Mayo this weekend,"This weekend, are you ready for Cinco De Mayo?",5,"This weekend, are you ready for Cinco De Mayo?",5
Wtf kind of cinco de mayo is this,This kind of cinco de mayo is Wtf.,2,"Kind of Cinco De Mayo, wtf is this?",3
Who won the clippers game,The clippers game was won by whom?,5,"The Clippers game, who won?",5
Is this a coaching problem with the clips,"With the clips, is this a player problem?",2,"With the clips, is this a coaching problem?",5
Mom dont tell me Coach Carter is on,"Coach Carter, don't tell me Mom is on.",2,"Coach Carter, don't tell me Mom, is on.",3
Coach carter is on abc family everyone,"Everyone, Coach Carter is on abc family.",5,"Everyone, Coach Carter is on ABC Family.",5
Hell yeah Coach Carter is on,"Coach Carter is off, hell yeah.",4,"On, Coach Carter is, hell yeah!",4
Coach Carter is on abc family now,"Now, abc family is on Coach Carter.",5,"Now, on ABC Family, Coach Carter is.",5
Oh gurlll Coach Carter is on,"On is Coach Carter, gurlll!",4,"On, Coach Carter is, gurlll!",3
Coach Carter is a really good movie,A really good movie is Coach Carter.,4,A really good movie is Coach Carter.,4
Great night to watch tv coach carter is on,"On Coach Carter, great night to watch TV.",3,"Watch TV, great night, Coach Carter is on.",2
Coach Carter is on and I cant watch it cause The Voice is recording,"The Voice is recording, and I can't watch Coach Carter.",4,"The Voice is recording, can't watch it, Coach Carter is on.",3
Need to do homework but Coach Carter is on,"On is Coach Carter, but I need to do homework.",4,"Coach Carter is on, but I need to do homework.",4
Thank god Coach Carter is coming on,"Coach Carter is coming on, thank god.",4,"Coach Carter is coming on, thank God!",4
corey brewer has to be the dumbest player in the league,The dumbest player in the league has to be Corey Brewer.,5,The dumbest player in the league has to be Corey Brewer.,5
Corey brewer look like a bum,A bum looks like Corey Brewer.,2,"Like a bum, Corey Brewer looks.",3
Corey Brewer look like everybody in the hood,Everybody in the hood looks like Corey Brewer.,2,Everybody in the hood looks like Corey Brewer.,3
Someone get Corey Brewer out of the game,"Get out of the game, someone, Corey Brewer.",4,"Get Corey Brewer out of the game, someone!",4
Lol Corey Brewer is so bad,"So bad is Corey Brewer, lol.",4,"So bad is Corey Brewer, lol.",4
what in the hell is Corey Brewer doing out there,"Out there doing Corey Brewer, what in the hell?",3,"Out there, what in the hell is Corey Brewer doing?",4
Why the fuck Corey Brewer so skinny,"So fat is Corey Brewer, why the fuck?",1,"So skinny, why the fuck is Corey Brewer?",3
Corey brewer is doing straight horrible,Horrible straight doing Corey Brewer is.,5,Horrible straight doing is Corey Brewer.,5
Second of all What the hell is Corey Brewer doing,"Doing Corey Brewer, what the hell is second of all?",3,"Doing, what the hell is Corey Brewer, second of all?",4
Corey Brewer is like a bizarroLebron,A bizarroLebron is Corey Brewer like.,4,A bizarroLebron is Corey Brewer like.,4
David Cook was fantastic on idol,"On idol, fantastic was David Cook.",5,Fantastic on Idol was David Cook.,5
Torn hip flexor and David Lee is going to play,"To play, David Lee is going with a torn hip flexor.",3,"Going to play, torn hip flexor and David Lee is.",4
Omfg just seen David Luiz s goal,"The goal of David Luiz has just been seen, omfg.",3,"S goal, just seen David Luiz's, omfg.",4
Deandre jordan is a sorry ass center,A sorry ass center is Deandre Jordan.,5,A sorry ass center is Deandre Jordan.,5
Denver it s ovaaa wit,It's ovaaa wit Denver,4,"It's ovaaa wit, Denver.",4
And the Derek Fisher playoff game checklist is complete,The complete playoff game checklist belongs to Derek Fisher,5,Complete is the Derek Fisher playoff game checklist.,4
dude Elena is a biiiiiitch,"Biiiiiitch is a word used for Elena, dude",4,"Biiiiiitch, Elena is, dude.",4
Video of Eric Gryba s hit on Lars Eller,Lars Eller's hit on Eric Gryba captured on video,3,"Lars Eller, Eric Gryba's hit on, video of.",3
I remember why i dont appear online on Facebook,"I appear online on Facebook, that's why I remember",2,"Online on Facebook, I don't appear, remember why.",1
My barber added me on Facebook,I added my barber on Facebook,5,"On Facebook, added me, my barber.",4
My dad is on facebook Twitter whatsapp,"Facebook, Twitter, and WhatsApp are where my dad is",3,"On Facebook, Twitter, Whatsapp, my dad is.",4
I posted 6 photos on Facebook in the album Zumbathon,Zumbathon is the album where I posted 6 photos on Facebook,5,"In the album Zumbathon, on Facebook, 6 photos I posted.",4
Who blocks on twitter facebook or instagram,"Twitter, Facebook, or Instagram are where people don't block",2,"On Twitter, Facebook, or Instagram, who blocks?",2
Stuck on 4666 on Facebook,Facebook has me stuck on 4666.,5,"On Facebook, stuck on 4666.",4
Connect with me on Facebook,Facebook is connecting with me,2,Facebook connection with me.,3
It s over on his facebook page,His Facebook page is over,2,"On his Facebook page, it's over.",5
What time are you going to be on Facebook,What Facebook are you going to be on time?,1,"On Facebook, what time are you going to be?",5
Connect w HarvardMagazine Classifieds on Facebook,Facebook is connecting with HarvardMagazine Classifieds,2,"On Facebook, connect with HarvardMagazine Classifieds.",5
Would love to see the Nets win a game 7 at home,I would hate to see the Nets lose a game 7 at home,2,"At home, would love to see the Nets win a game 7.",3
George Karl is such a good coach,George Karl is such a bad coach,1,George Karl is not a good coach.,2
Gerald Wallace missed a easy lay up,An easy lay up missed Gerald Wallace,2,"An easy layup, Gerald Wallace missed.",3
4th walk of the night for Gio,Gio had no walks tonight,2,"For Gio, the 4th walk of the night.",5
THIS IS A GOLDEN STATE OF MIND FOOL,"FOOL, THIS IS A MIND STATE OF LEAD",2,"Fool, this is a Golden State of Mind.",5
The great gatsby looks pretty goood,Pretty good looks the Great Gatsby.,5,Pretty good looks The Great Gatsby.,4
The Hack Asik strategy failed hard,Hard failed the Asik Hack strategy.,4,Hard failed the Hack Asik strategy.,5
may 24 is the day hangover 3 comes out,The day Hangover 3 comes out is May 24.,5,The day Hangover 3 comes out is May 24.,5
so Harding didnt win the game,"The game didn't win Harding, so.",2,The game was not won by Harding.,4
Josh Harding is a goddamned hero,A goddamned hero is not Josh Harding.,2,A goddamned hero is Josh Harding.,5
Harding had a helluva game,A helluva game didn't have Harding.,2,A helluva game Harding had.,4
Credit to Harding of the Wild,"Of the Wild, credit is due to Harding.",5,"Of the Wild, credit to Harding.",4
josh harding what a grat job,What a grat job Josh Harding.,5,What a grat job Josh Harding.,4
Josh Harding is for sure the best player of the game tonight,The best player of the game tonight is not Josh Harding for sure.,2,For sure the best player of the game tonight is Josh Harding.,4
Harding had a fantastic game,A fantastic game didn't have Harding.,2,A fantastic game Harding had.,4
the utmost respect for Harding,Harding has the utmost disrespect,2,"For Harding, the utmost respect is.",3
Way to go Josh Harding,"Josh Harding, what a way to not go",2,"Josh Harding, way to go!",4
Hiller is on top of his game tonight,Hiller is at the bottom of his game tonight,1,"On top of his game tonight, Hiller is.",5
Hiller with the ol glove save,Hiller with the ol' glove drop,4,The ol glove save by Hiller.,4
Hiller is on top of it tonight,Hiller is at the bottom of it tonight,1,Hiller is dominating tonight.,5
feeling the pressure testing Hiller,Hiller is testing the pressure of feeling,2,"Testing Hiller, feeling the pressure.",4
Hiller you are a beast,"Beast, you are a Hiller",2,"You are a beast, Hiller.",5
Hiller flashing the leather eh,"Leather, Hiller flashing the eh",4,"Flashing the leather, eh, Hiller.",3
Hiller is playing like the Hiller of old,Hiller is playing like the old Hiller of not,5,Hiller is playing like his old self.,5
Jonas Hiller is the pinacle of efficient goaltending,Jonas Hiller is the nadir of inefficient goaltending,2,Efficient goaltending is epitomized by Jonas Hiller.,5
HILLER GETS ALL THE STARS,All the stars get Hiller,4,"All the stars, Hiller gets.",4
Kane to Hossa game tied,Hossa to Kane game tied,5,"Game tied, Hossa to Kane.",4
this really my favorite part on House Party,House Party's favorite part is really mine,4,"House Party, this is really my favorite part.",4
It s a windy day in Houston,A windy day in Houston it s,5,"In Houston, it's a windy day.",5
Huddy has a 1hitter going,A 1hitter going Huddy has,5,"Going, Huddy has a 1-hitter.",4
If the knicks lose this game then they probably will lose the series,If the knicks lose the series then they probably will lose this game,1,"Probably will lose the series, if the Knicks lose this game then.",4
If the Knicks lose this like I said imma laugh,If the Knicks laugh this like I said imma lose,1,"Imma laugh, like I said, if the Knicks lose this.",4
If the Knicks lose this series I might shed tears,If the Knicks shed tears this series I might lose,1,"Might shed tears, if the Knicks lose this series.",4
i dont care if the knicks win this game they deserve to lose,I don't care if the Knicks deserve to lose this game they win,1,"Deserve to lose, I don't care if the Knicks win this game.",2
If the Knicks lose this game lol,If the Knicks lol this game lose,1,"Lol, if the Knicks lose this game.",2
Damn what if the Knicks lose this series bruh,"Bruh, what if this series loses the Knicks?",4,"Bruh, this series what if the Knicks lose?",3
If the Knicks lose this series oh man,"Oh man, if this series loses the Knicks.",4,"Oh man, if this series the Knicks lose.",3
If the Knicks lose tonight this series might be over for them boys,Might be over for them boys if the Knicks lose this series tonight.,4,This series might be over for the Knicks boys if they lose tonight.,4
If the Knicks play like this they will lose the series,"They will lose the series if they play like this, the Knicks.",4,They will lose the series if the Knicks play like this.,4
And J Cole just let out a new mixtape,A new mixtape has just been released by J Cole.,5,"Just let out a new mixtape, J Cole did.",4
Is the J Cole mixtape worth getting,Is it worth getting the J Cole mixtape?,5,"Worth getting, is the J Cole mixtape?",4
This new j cole mixtape is fire,Fire is this new J Cole mixtape.,5,Fire is the new J Cole mixtape.,5
I gotta get some tickets to a J Cole concert,"To a J Cole concert, I need to get some tickets.",5,"To a J Cole concert, some tickets I gotta get.",5
I fck wit old j cole,"Old J Cole, I fck wit.",5,"Old J Cole, I fck wit.",5
this new J Cole mixtape is good you like,"You like this new J Cole mixtape, it's good.",5,"You like, this new J Cole mixtape is good.",4
Who got the link for j cole,Who got J Cole for the link?,5,"For J Cole, who got the link?",4
Truly Yours 2 by J Cole is nice,Nice is Truly Yours 2 by J Cole.,5,Nice is Truly Yours 2 by J Cole.,4
J Cole has a new mixtape out,A new mixtape is out by J Cole.,5,"Out, a new mixtape by J Cole.",4
j cole is my dude bro,"Bro, my dude is J Cole.",5,"Bro, J Cole is my dude.",5
Get jarrett jack out of the game,Get the game out of Jarrett Jack.,2,Remove Jarrett Jack from the game.,2
Jeff Green is a legalized killer,A legalized killer is Jeff Green.,5,"Legalized killer, Jeff Green.",4
i thought Jeff Green hit the dagger,"The dagger was hit by Jeff Green, I thought.",5,"The dagger, Jeff Green hit, I thought.",4
Jeff Green is a baller tho,"Tho, a baller is Jeff Green.",5,"Tho, a baller is Jeff Green.",4
Jeff Green is so damn humble,So damn humble is Jeff Green.,5,So damn humble is Jeff Green.,4
Crank up the bus Knicks Jeff green is on fire,"Jeff Green is on fire, crank up the Knicks bus.",5,"On fire, Jeff Green, crank up the bus Knicks.",4
JEFF GREEN IS A STAR IN THE MAKING,A star in the making is Jeff Green,5,A star in the making is Jeff Green.,5
Jeff Green is a BAAAAAAAAADDDDD man,A man BAAAAAAAAADDDDD is Jeff Green,4,A BAAAAAAAAADDDDD man is Jeff Green.,4
Jeff Green s back to back three,Three back to back is Jeff Green's,3,Back to back three by Jeff Green.,3
and Jeff green playing amazing to,Amazing playing is Jeff Green's,4,"Amazingly, Jeff Green is playing.",4
RIP to one of the greats Jeff Hanneman of Slayer,Jeff Hanneman of Slayer RIP to one of the greats,5,"Of Slayer, Jeff Hanneman, RIP to one of the greats.",5
Jeff Hanneman of Slayer is dead and I am sad,I am sad and Jeff Hanneman of Slayer is dead,4,"Sad I am, Jeff Hanneman of Slayer is dead.",4
RIP guitarist of Slayer band Jeff Hanneman,"Jeff Hanneman, the guitarist of Slayer band, RIP",5,"Guitarist of Slayer band, Jeff Hanneman, RIP.",5
RIP Jeff Hanneman from Slayer died today at 49 of liver failure,"Today at 49 of liver failure, Jeff Hanneman from Slayer died, RIP",5,"Jeff Hanneman from Slayer died today at 49 of liver failure, RIP.",5
RIP jeff hanneman of Slayer we never forget you,"We never forget you, Jeff Hanneman of Slayer, RIP",5,"Of Slayer, Jeff Hanneman, we never forget you, RIP.",5
RIP to one of the greatest Jeff Hanneman,"One of the greatest is Jeff Hanneman, RIP.",4,"To one of the greatest, Jeff Hanneman, RIP.",4
RIP Jeff Hanneman aguante Slayer ctm,"Aguante Slayer ctm, RIP Jeff Hanneman",4,"Aguante Slayer ctm, RIP Jeff Hanneman.",4
Slayer s guitarist Jeff Hanneman just died of liver failure,Liver failure just died Slayer's guitarist Jeff Hanneman of Slayer,2,"Of liver failure, Slayer's guitarist Jeff Hanneman just died.",3
The riffs of Jeff Hanneman remembered,Remembered are the riffs of Jeff Hanneman,4,Remembered are the riffs of Jeff Hanneman.,4
RIP Jeff Hanneman of Slayer who died today of liver failure,"Of liver failure, Jeff Hanneman of Slayer who died today RIP",4,"Of Slayer, RIP Jeff Hanneman who died today of liver failure.",3
After what Jordan Crawford said to my nigga melo,"To my nigga Melo, after what Jordan Crawford said",3,"To my nigga Melo, after what Jordan Crawford said.",3
Josh Harding is already a star of the nhlplayoffs,NHL playoffs star already is Josh Harding,4,NHL playoffs already have a star in Josh Harding.,4
Josh Harding here s to you,"You, Josh Harding, here's to",3,"Here's to you, Josh Harding.",3
Josh Harding is the first star tonight,"Tonight, the first star is Josh Harding",4,"Tonight, Josh Harding is the first star.",4
Still a great game played by Josh Harding,"Played by Josh Harding, still a great game",4,Josh Harding played a great game.,4
WHAT A SAVE BY JOSH HARDING,"JOSH HARDING, WHAT A SAVE!",5,"By Josh Harding, what a save!",4
Congrats to Josh Harding on the second star of the game,The second star of the game is congratulating Josh Harding.,5,"On the second star of the game, congrats to Josh Harding.",4
Josh Harding is a hero in my book,"In my book, a hero is Josh Harding.",5,"In my book, Josh Harding is a hero.",5
Tough loss for the reginaboy josh harding hell of a game,"Josh Harding had a hell of a game, but it was a tough loss for the reginaboy.",4,"Hell of a game played by Josh Harding, tough loss for the Regina boy.",4
Josh Harding played a HELL of a game despite the loss,"Despite the loss, Josh Harding played a HELL of a game.",5,"Despite the loss, Josh Harding played a hell of a game.",5
Tough Tough break for Josh Harding,Josh Harding had a lucky break.,1,Josh Harding had a tough break.,3
Josiah is my perfect man,My perfect man is Josiah.,5,My perfect man is Josiah.,5
I love Judi but she got her ass beat,"Judi beat someone's ass, but I still love her.",2,"But she got her ass beat, I love Judi.",3
Judi was a crazy mf,A sane mf was Judi.,1,A crazy mf was Judi.,5
Priscilla Laced Judi Ass Up tho,Judi laced Priscilla's ass up.,2,Judi's ass was laced up by Priscilla.,3
Judi stayed getting her ass beat,Ass beatings were a regular occurrence for Judi.,4,"Getting her ass beat, Judi stayed.",4
I remember this fight Judi got her ass tore up,This fight got its ass tore up by Judi.,2,"Got her ass tore up, Judi did, in that fight I remember.",3
I love the fight with Judi vs Priscilla,The fight with Priscilla vs Judi is hated by me.,1,"The fight with Judi vs Priscilla, I love.",5
Judi was psycho lmao loved her,"Lmao hated Judi, she was psycho.",2,"Loved Judi, she was psycho lmao.",4
Judi was a crazy Creole bitch,A crazy Creole bitch was Judi.,5,"A crazy Creole bitch, Judi was.",5
I remember Judi vs Priscilla,"Priscilla vs Judi, I remember.",3,"Judi vs Priscilla, I remember.",4
Julie got her ass handed to her on that reunion,"On that reunion, her ass handed to her was given by Julie.",2,"On that reunion, her ass Julie got handed to her.",3
Kevin Martin is 1 of 10 really,"Really, 1 of 10 is Kevin Martin.",2,"Really, Kevin Martin is one of ten.",3
Kevin Martin is the reason OKC lost,OKC lost because of everyone except Kevin Martin.,1,"The reason OKC lost, Kevin Martin is.",5
Kevin Martin is awful right now,"Right now, Kevin Martin is amazing.",2,"Right now, awful Kevin Martin is.",3
Kevin martin is doing horrible gah damn,"Gah damn, Kevin Martin is doing great.",2,"Gah damn, Kevin Martin is doing horrible.",4
All Kevin Martin does is miss shots,The shots miss Kevin Martin all the time.,4,Shots are all that Kevin Martin misses.,4
Why is Kevin Martin still in the game,Why is the game still in Kevin Martin?,2,"In the game, why is Kevin Martin still?",2
KEVIN Martin is all the rest of the crap there,All the rest of the crap is KEVIN Martin there.,3,All the rest of the crap there is KEVIN Martin.,3
Did Kevin Martin miss the bus,Did the bus miss Kevin Martin?,5,"Miss the bus, did Kevin Martin?",5
Kevin martin is showing them the true bricktown,Showing them the true bricktown is Kevin Martin.,4,"Showing them the true Bricktown, Kevin Martin is.",4
KIM POSSIBLE IS ON IM SO EXCITED,IM SO EXCITED ON KIM POSSIBLE IS.,2,IM SO EXCITED KIM POSSIBLE IS ON.,2
Kim Possible is on tv right now guys,Tv right now guys is Kim Possible.,3,"Guys, on TV right now is Kim Possible.",3
i thought yall niggas was lien Kim Possible is on,Kim Possible is lien yall thought I was.,2,"Kim Possible is on, I thought y'all were lying.",2
Yall Kim possible is on right now,Right now is Yall Kim possible on.,3,"Right now, Kim Possible is on, y'all.",3
OMG KIM POSSIBLE IS ON BUT I NEED TO SLEEP,I NEED TO SLEEP BUT KIM POSSIBLE IS ON OMG.,4,"Need to sleep, but Kim Possible is on, OMG.",4
Kim Possible On I Use To Love That Show,I Use To Love That Show On Kim Possible,4,"On I use to love that show, Kim Possible.",3
Kim Possible is on right now on Disney Channel,Right now on Disney Channel is Kim Possible,5,"Right now on Disney Channel, Kim Possible is on.",4
Ah fuck Kim possible is on yo,"Yo, Kim Possible is on, ah fuck",2,"Yo, Kim Possible is on, fuck!",2
I really like Steph Curry and Klay Thompson,Klay Thompson and Steph Curry are not my cup of tea,2,"Steph Curry and Klay Thompson, I really like.",3
Klay Thompson is as real as it gets,"As fake as it gets, Klay Thompson",2,"As real as it gets, Klay Thompson is.",3
Klay Thompson is getting better and better,"Getting worse and worse, Klay Thompson is",4,"Better and better, Klay Thompson is getting.",3
Is Curry and Klay playing tonight,"Tonight, is Curry and Klay playing?",5,"Playing tonight, Curry and Klay is?",4
Klay Thompson bucket AND the foul,The foul AND Klay Thompson bucket,4,"The foul and bucket, Klay Thompson.",3
well lets go StephenCurry30 and Klay Thompson,"StephenCurry30 and Klay Thompson, let's not go.",2,Let's root for StephenCurry30 and Klay Thompson.,4
Klay Thompson Is A Good Ass Shooter,A good ass shooter is Klay Thompson.,5,A good ass shooter is Klay Thompson.,5
Can Klay Thompson wake up,Can wake up Klay Thompson?,3,"Wake up, can Klay Thompson?",4
Did Klay Thompson just air ball,Just air ball Klay Thompson did?,5,"Just air ball, did Klay Thompson?",5
Whatsup with Klay and curry,What's up with Curry and Klay?,5,"Curry and Klay, whatsup with them?",5
Im pissed at the Knicks,The Knicks are pleased with me.,1,"At the Knicks, I'm pissed.",4
My top 3 is Candice Angie Kree,"Kree, Angie, and Candice are my bottom 3.",2,"Candice, Angie, and Kree, my top 3.",5
RIP to Chris Kelly one half of 90s group Kris Kross,"One half of 90s group Kris Kross, Kris Kelly, RIP.",5,"One half of 90s group Kris Kross, Chris Kelly, RIP to.",5
Mac Daddy of Kris Kross R,"R of Kris Kross, Mac Daddy.",5,"Of Kris Kross R, Mac Daddy.",5
Damn one of the homies from Kris Kross died,"Kris Kross's homies are alive, damn.",1,"From Kris Kross, one of the homies died, damn.",4
Chris Kelley from Kris Kross dead,Dead is Kris Kross's Chris Kelley.,5,"Dead, Chris Kelley from Kris Kross.",5
RIP to the dude from Kris Kross,The dude from Kris Kross RIPs.,5,"From Kris Kross, the dude RIP to.",4
So sad to hear the news about Chris Kelly of Kris Kross,So happy to hear the news about Chris Kelly of Kris Kross.,1,"About Chris Kelly of Kris Kross, the news so sad to hear.",3
Chris Kelly Dead Kris Kross Rapper Mac,"Chris Kelly alive, Kris Kross rapper Mac.",2,"Kris Kross rapper Mac, Chris Kelly dead.",5
Chris Kelly onehalf of the 1990s rap duo Kris Kross is dead,"Chris Kelly, the other half of the 1990s rap duo Kris Kross, is alive.",2,"Dead is Chris Kelly, one half of the 1990s rap duo Kris Kross.",5
Kris Kross rapper Chris Kelly dead at 34,Kris Kross rapper Chris Kelly alive at 34.,1,"Chris Kelly, rapper of Kris Kross, dead at 34.",5
Just read about Mac Daddy Chris Kelly of Kris Kross,"Just read about Mac Daddy Chris Kelly of Kris Kross, who is alive.",5,"Of Kris Kross, Mac Daddy Chris Kelly, just read about.",4
The Mack Daddy of Kriss Kross,The Kriss Kross of Mack Daddy.,5,"Of Kriss Kross, the Mack Daddy.",4
Which one of the dudes from Kriss Kross died,Which one of the Kriss Kross dudes passed away,3,Died which one of the dudes from Kriss Kross.,2
RIP Chris Kelley the Mac Daddy of Kriss Kross,"Chris Kelley, the Mac Daddy of Kriss Kross, passed away",3,"The Mac Daddy of Kriss Kross, Chris Kelley, RIP.",4
Chris Mac Daddy Kelly from Kriss Kross just died,"Chris Kelly, the Mac Daddy from Kriss Kross, just passed away",3,"Just died, Chris Mac Daddy Kelly from Kriss Kross.",4
Shocked about Chris from Kriss Kross,Chris from Kriss Kross shocked about,1,"From Kriss Kross, Chris shocked me.",3
damn Chris Kelly of Kriss Kross at 34,Chris Kelly of Kriss Kross at 34 damn,1,"At 34, damn, Chris Kelly of Kriss Kross.",4
The Mack Daddy from Kriss Kross died today,Kriss Kross Mack Daddy died today from The,2,"Today, the Mack Daddy from Kriss Kross died.",5
NOOOO Chris Kelly from Kriss Kross has died,Chris Kelly from Kriss Kross has died NOOOO,1,"Chris Kelly from Kriss Kross has died, NOOOO.",3
wow Chris Mac Daddy Kelly from Kriss Kross died,Chris Mac Daddy Kelly from Kriss Kross died wow,1,"Died, Chris Mac Daddy Kelly from Kriss Kross, wow.",3
I really love Kurt s clothes,Kurt's clothes I really love,5,"Kurt's clothes, I really love.",5
Holy hope Lars Eller is okay,Lars Eller is okay holy hope,1,"Holy, Lars Eller, I hope he's okay.",3
Oof scary hit on Lars Eller,Scary hit on Lars Eller oof,1,"Scary hit on Lars Eller, oof.",3
Lars Eller brought off the ice on a stretcher,Brought off the ice on a stretcher Lars Eller,2,"On a stretcher, Lars Eller brought off the ice.",5
Thoughts on the Gryba hit on Lars Eller,Gryba hit on Lars Eller thoughts on the,1,Thoughts on the hit by Gryba on Lars Eller.,5
Man that hit on Lars Eller was bad,Lars Eller hit on that man was bad,4,Lars Eller was hit badly by that man.,5
WHOAAAAA Eric Gryba on Lars Eller,Lars Eller on WHOAAAAA Eric Gryba,5,"On Lars Eller, Eric Gryba WHOAAAAA.",4
Lars Eller on the Canadiens just got fucked up,The Canadiens on Lars Eller just got fucked up,2,Fucked up just got Lars Eller on the Canadiens.,2
That was some hit on Lars Eller,Lars Eller received some hit,4,"On Lars Eller, that was some hit.",4
BIG hit on the Habs Lars Eller,The Habs on BIG hit Lars Eller,5,"On the Habs Lars Eller, BIG hit.",4
We need to play Liggins,Liggins needs to play,5,"Liggins, we need to play.",5
What the hell is Luongo doing,What is doing Luongo the hell,3,"Doing, what the hell is Luongo.",3
MC hammer is at the game aha,"Aha, the game is at MC Hammer",5,"At the game, aha, MC Hammer is.",4
MC Hammer spotting at the warriors game,The warriors game is at MC Hammer spotting,5,"At the Warriors game, spotting MC Hammer.",5
MC Hammer sighting at the NuggetsWarriors game,The NuggetsWarriors game is at MC Hammer sighting.,5,A NuggetsWarriors game sighting had MC Hammer.,5
Is that MC Hammer court side in the bay,"Court side in the bay, is that MC Hammer?",5,"Court side in the bay, is that MC Hammer?",5
Who seen MC HAMMER at the game,"At the game, who saw MC HAMMER?",5,"At the game, who saw MC HAMMER?",5
